title,url,image_url,scraped_at
Welfare vote 'a blow to the prime minister',https://news.sky.com/video/welfare-reform-vote-a-blow-to-the-prime-minister-13391198,https://e3.365dm.com/25/07/384x288/skynews-beth-rigby-still_6954963.jpg?20250702020202,2025-07-04 10:19:25.280119
Ancient Roman settlement uncovered after rare swords found,https://news.sky.com/story/ancient-roman-settlement-uncovered-after-rare-swords-found-near-cotswolds-village-13392212,https://e3.365dm.com/25/07/384x288/skynews-cotswold-roman-sword_6956848.jpg?20250704100121,2025-07-04 10:19:25.280334
"Trump celebrates his 'big, beautiful' win",https://news.sky.com/story/stars-stripes-and-soundbites-trump-celebrates-his-big-beautiful-win-13392172,https://e3.365dm.com/25/07/384x288/skynews-donald-trump-in-des-moines-iowa_6956733.jpg?20250704051305,2025-07-04 10:19:25.280489
MP ousted from Labour announces she is starting new political party with Jeremy Corbyn,https://news.sky.com/story/mp-zarah-sultana-who-was-ousted-from-labour-announces-she-is-starting-new-political-party-with-jeremy-corbyn-13392103,https://e3.365dm.com/25/07/384x288/skynews-jeremy-corbyn-zarah-sultana_6956648.jpg?20250703212020,2025-07-04 10:19:25.280618
Friday's national newspaper front pages,https://news.sky.com/story/fridays-national-newspaper-front-pages-12427754,https://e3.365dm.com/25/07/384x288/skynews-newspaper-fan_6956675.jpg?20250703220307,2025-07-04 10:19:25.280754
Leaseholders to get rights to more easily challenge extortionate service charges,https://news.sky.com/story/leaseholders-to-get-rights-to-more-easily-challenge-extortionate-service-charges-13392142,https://e3.365dm.com/24/11/384x288/skynews-terraced-housing-blocks-of-flats_6738790.jpg?20241104142436,2025-07-04 10:19:25.280881
PM told to 'use Rayner - people like her',https://news.sky.com/story/sir-keir-starmer-should-use-angela-rayner-more-effectively-as-she-is-popular-with-public-harriet-harman-says-13392003,https://e3.365dm.com/25/07/384x288/skynews-angela-rayner-electoral-dysfunction_6956414.jpg?20250703160331,2025-07-04 10:19:25.281010
Trump's 'big beautiful bill' passes final hurdle in US Congress,https://news.sky.com/story/donald-trumps-big-beautiful-tax-cuts-bill-passes-final-hurdle-in-us-congress-13392085,https://e3.365dm.com/25/07/384x288/skynews-trump-donald_6956602.jpg?20250703195527,2025-07-04 10:19:25.281149
Iran: Still a chance for peace talks with US,https://news.sky.com/story/iran-still-a-chance-for-peace-talks-with-us-13391964,https://e3.365dm.com/25/07/384x288/skynews-baqaei-iran_6956451.png?20250703163756,2025-07-04 10:19:25.281275
Yet another fiscal 'black hole'? Here's why this one matters,https://news.sky.com/story/fiscal-rules-are-silly-but-important-as-reeves-has-banged-on-about-them-and-markets-care-13392031,https://e3.365dm.com/25/07/384x288/image_6956163.jpg?20250703122427,2025-07-04 10:19:25.281423
"Michael Madsen, who starred in Reservoir Dogs and Kill Bill, dies",https://news.sky.com/story/michael-madsen-who-starred-in-reservoir-dogs-and-kill-bill-dies-aged-67-13392053,https://e3.365dm.com/25/07/384x288/skynews-michael-madsen-reservoir-dogs_6956564.jpg?20250703185852,2025-07-04 10:19:25.281567
